instance_name,periods,bs_total_cost,bs_routing_cost,bs_inventory_penalty,bs_feasible,bs_runtime_sec,bs_calls,ils_total_cost,ils_routing_cost,ils_inventory_penalty,ils_feasible,ils_runtime_sec,ils_calls,total_runtime_sec,total_runtime_formatted,improvement_percent
LR1_DR02_VC01_V6a,120,529758.09356,34158.09355999997,495600.0,True,11.523,53,105385.98031999996,33385.98031999996,72000.0,True,2917.8942,57,2929.4172,48m 49.42s,80.11%
LR1_DR02_VC02_V6a,120,731274.78451,31374.784509999998,699900.0,True,50.2809,73,85734.58048,32034.580480000004,53700.0,True,7350.0001,67,7400.281,2h 3m 20.28s,88.28%
LR1_DR02_VC03_V7a,120,389381.724354,34681.72435399998,354700.0,True,28.9896,57,85758.58958399997,34158.589583999965,51600.0,True,4124.0241,65,4153.0137,1h 9m 13.01s,77.98%
