instance_name,periods,bs_total_cost,bs_routing_cost,bs_inventory_penalty,bs_feasible,bs_runtime_sec,bs_calls,ils_total_cost,ils_routing_cost,ils_inventory_penalty,ils_feasible,ils_runtime_sec,ils_calls,total_runtime_sec,total_runtime_formatted,improvement_percent
LR1_DR02_VC01_V6a,180,822759.95636,53959.956359999946,768800.0,True,99.3425,81,161795.55685999992,52995.556859999924,108800.0,True,17270.6822,87,17370.0247,4h 49m 30.02s,80.34%
LR1_DR02_VC02_V6a,180,1163355.6834,48655.68340000004,1114700.0,True,288.3855,110,110863.34918000002,50363.34918000002,60500.0,True,28260.2038,104,28548.5893,7h 55m 48.59s,90.47%
LR1_DR02_VC03_V7a,180,625054.05964,55754.05963999996,569300.0,True,283.6717,87,191695.95624799994,53795.95624799995,137900.0,True,24821.0993,99,25104.771,6h 58m 24.77s,69.33%
LR1_DR02_VC03_V8a,180,596950.662552,67950.66255200002,529000.0,True,443.5252,78,211492.25196799997,60892.25196799998,150600.0,True,13916.5767,82,14360.1018,3h 59m 20.10s,64.57%
LR1_DR02_VC04_V8a,180,191946.913526,66346.913526,125600.0,True,1701.4023,112,143459.83939799998,65059.839398,78400.0,True,10385.473,112,12086.8752,3h 21m 26.88s,25.26%
LR1_DR02_VC05_V8a,180,319689.017636,59089.017636,260600.0,True,1656.6163,106,88552.56897999995,58052.56897999996,30500.0,True,9168.1449,104,10824.7611,3h 0m 24.76s,72.30%
LR1_DR03_VC03_V10b,180,2640521.122826,22321.122826000003,2618200.0,True,783.4276,50,230056.18437999996,77756.18437999996,152300.0,True,16447.4739,124,17230.9015,4h 47m 10.90s,91.29%
